"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ahnak",2.68869683445e-261,-1.2591290609922,0.349,0.781,3.8873178832478e-257,"0","Ahnak"
"Vim",6.78480004975932e-245,-1.12496616238808,0.566,0.876,9.80946391194202e-241,"0","Vim"
"Mki67",4.20523654398991e-240,-1.56465074820983,0.231,0.667,6.07993099530062e-236,"0","Mki67"
"Lgals1",4.97042332461514e-239,-1.48380894718149,0.41,0.766,7.18623804272857e-235,"0","Lgals1"
"S100a10",3.15376858300371e-225,-1.08631144709841,0.426,0.772,4.55971861730676e-221,"0","S100a10"
"Maf",5.94821852315943e-222,-1.17026175315938,0.088,0.527,8.5999343407839e-218,"0","Maf"
"Icos",5.54647639578912e-217,-1.32127518147034,0.25,0.669,8.01909557303191e-213,"0","Icos"
"Ighm",2.19423253934019e-190,-0.981286128174461,0.298,0.697,3.17242140537804e-186,"0","Ighm"
"S100a4",1.23092546857303e-189,-1.3939009996263,0.031,0.405,1.77967204246289e-185,"0","S100a4"
"Hmgb2",3.17797510460554e-179,-1.0251072376994,0.303,0.649,4.5947164062387e-175,"0","Hmgb2"
"Ly6a",2.0780506522366e-174,-1.12538708219368,0.139,0.525,3.00444563300368e-170,"0","Ly6a"
"S100a6",3.33984959682988e-169,-1.0374075722399,0.038,0.386,4.82875454709663e-165,"0","S100a6"
"Ccna2",1.27798636517535e-168,-0.976429578035901,0.107,0.469,1.84771268677053e-164,"0","Ccna2"
"Serinc3",2.97807852296103e-166,-0.797634210369223,0.34,0.689,4.30570592849706e-162,"0","Serinc3"
"Birc5",3.06333749201596e-155,-0.813117512097752,0.075,0.414,4.42897334595667e-151,"0","Birc5"
"Racgap1",1.48216518066473e-154,-0.848865579747928,0.103,0.448,2.14291441820506e-150,"0","Racgap1"
"Hist1h1d",8.10209930945673e-152,-1.21422734069491,0.117,0.454,1.17140151816125e-147,"0","Hist1h1d"
"Anxa2",1.59041203866057e-150,-1.10682531209985,0.104,0.443,2.29941772549546e-146,"0","Anxa2"
"Kif11",3.88644910823875e-150,-0.990272557774281,0.094,0.429,5.61902812069159e-146,"0","Kif11"
"Top2a",5.53382433916718e-148,-1.31735518797178,0.287,0.597,8.00080322956792e-144,"0","Top2a"
"Hist1h1b",1.73466893664952e-146,-1.07462008961538,0.087,0.416,2.50798434860788e-142,"0","Hist1h1b"
"Lad1",8.61813604849838e-145,0.97838773472042,0.312,0.053,1.2460101098919e-140,"0","Lad1"
"Tpx2",5.1189892061702e-142,-0.891730092864399,0.083,0.403,7.40103459428088e-138,"0","Tpx2"
"Anxa6",1.34691422579872e-141,-0.721618058940986,0.561,0.798,1.94736858765978e-137,"0","Anxa6"
"Hist1h1e",1.23485288395618e-138,-1.00912082978302,0.132,0.451,1.78535029962384e-134,"0","Hist1h1e"
"Arl6ip1",2.51034311672688e-131,-0.813546589432253,0.51,0.744,3.62945407816372e-127,"0","Arl6ip1"
"Cdc25b",2.66688943788488e-131,-0.841373554522318,0.08,0.386,3.85578874929396e-127,"0","Cdc25b"
"Lbr",4.18106285299281e-129,-0.697594801800877,0.343,0.639,6.044980672857e-125,"0","Lbr"
"Incenp",7.6940202212172e-126,-0.812539128439761,0.135,0.443,1.11240144358358e-121,"0","Incenp"
"Mdn1",2.76884789908106e-119,0.761696511534752,0.548,0.266,4.0032002924914e-115,"0","Mdn1"
"Cenpf",1.87243570321813e-118,-0.841626892913595,0.051,0.324,2.70716753971278e-114,"0","Cenpf"
"Cdca8",7.92799030025004e-116,-0.693762979527674,0.101,0.391,1.14622883761015e-111,"0","Cdca8"
"Ccnb2",8.31893690362833e-116,-0.604000347333454,0.044,0.311,1.20275189752658e-111,"0","Ccnb2"
"Cdca3",2.50805798714339e-115,-0.638431012189805,0.058,0.329,3.62615023781192e-111,"0","Cdca3"
"Mybbp1a",1.46894201002215e-114,0.711846861373934,0.639,0.375,2.12379635809002e-110,"0","Mybbp1a"
"Lgals3",1.1366674355016e-112,-1.00132569853564,0.011,0.25,1.64339377824821e-108,"0","Lgals3"
"Crip1",1.65278179802219e-112,-0.843399435552335,0.384,0.645,2.38959192358048e-108,"0","Crip1"
"Kif15",1.00748980879604e-111,-0.652393822891482,0.088,0.368,1.45662876555731e-107,"0","Kif15"
"Tubb4b",1.40686818059012e-111,-0.791565036218357,0.316,0.579,2.0340500154972e-107,"0","Tubb4b"
"Gnai2",2.19540005019597e-111,-0.474708418922418,0.79,0.913,3.17410939257333e-107,"0","Gnai2"
"Prc1",3.01231208608261e-111,-0.710998298941591,0.051,0.312,4.35520081405823e-107,"0","Prc1"
"Myo1f",5.08297340573535e-111,-0.616890803181206,0.014,0.253,7.34896295001217e-107,"0","Myo1f"
"Cenpe",5.74576692135892e-111,-0.784447202160528,0.061,0.328,8.30722981490073e-107,"0","Cenpe"
"Rad21",6.61102827606217e-111,-0.673620577188834,0.427,0.671,9.55822468153068e-107,"0","Rad21"
"Hmmr",1.79051440417131e-110,-0.62648681516086,0.034,0.285,2.58872572555088e-106,"0","Hmmr"
"Rpl12",2.13336265305672e-110,0.342403575138535,0.986,0.95,3.0844157237894e-106,"0","Rpl12"
"Itgb7",2.16449696197311e-110,-0.579892810503373,0.644,0.836,3.12942970762072e-106,"0","Itgb7"
"Rrm2",6.88191169114888e-110,-0.780916093025802,0.17,0.459,9.94986792306306e-106,"0","Rrm2"
"Atp2b4",6.12548722051953e-108,-0.622183899640424,0.07,0.342,8.85622942342713e-104,"0","Atp2b4"
"Plk1",1.73892476917487e-106,-0.593760578302322,0.036,0.282,2.51413743127303e-102,"0","Plk1"
"Ube2c",8.33167256030152e-106,-0.626011630542172,0.028,0.268,1.20459321876839e-101,"0","Ube2c"
"Hist1h3c",1.00500560966239e-105,-0.666323034311761,0.045,0.296,1.45303711044989e-101,"0","Hist1h3c"
"Casc5",1.27617656697128e-105,-0.626743320784085,0.057,0.312,1.84509608052708e-101,"0","Casc5"
"Nusap1",1.87670894074848e-105,-0.702137964362867,0.053,0.305,2.71334578653415e-101,"0","Nusap1"
"Aspm",2.61149720729635e-105,-0.70799343823331,0.047,0.297,3.77570266230906e-101,"0","Aspm"
"2810417H13Rik",4.0960261063203e-105,-0.636611427371669,0.137,0.426,5.9220345445179e-101,"0","2810417H13Rik"
"Hist1h2ae",5.3022022820371e-105,-0.610270945770843,0.041,0.287,7.66592405936924e-101,"0","Hist1h2ae"
"Lcp1",5.97867578166126e-105,-0.419265941200199,0.919,0.967,8.64396944512585e-101,"0","Lcp1"
"Hist1h2ab",5.42264261487895e-104,-0.646171094488075,0.043,0.287,7.84005669259198e-100,"0","Hist1h2ab"
"Lmnb1",5.79497608864702e-104,-0.752150507833071,0.404,0.624,8.37837642896586e-100,"0","Lmnb1"
"Neb",1.75862321767478e-103,-0.840950316936236,0.035,0.279,2.5426174481142e-99,"0","Neb"
"Tpm4",2.55258568822468e-100,-0.637060169051148,0.406,0.657,3.69052838803524e-96,"0","Tpm4"
"Nr4a3",5.79737640225267e-100,0.71968934189329,0.194,0.023,8.38184680237691e-96,"0","Nr4a3"
"Ccr4",2.05005438647515e-99,-0.659406132164874,0.082,0.343,2.96396863196577e-95,"0","Ccr4"
"Kif22",1.05071461570166e-98,-0.575784630587907,0.05,0.29,1.51912319138146e-94,"0","Kif22"
"Kif4",7.33926329034921e-98,-0.586523406782402,0.061,0.306,1.06111068651869e-93,"0","Kif4"
"Tacc3",2.01901024419961e-97,-0.616935683402887,0.105,0.365,2.9190850110638e-93,"0","Tacc3"
"Tuba1c",1.36179987919896e-96,-0.706703884803564,0.141,0.405,1.96889026534585e-92,"0","Tuba1c"
"Ckap2l",4.05358388761788e-95,-0.551318449788255,0.047,0.28,5.86067158471793e-91,"0","Ckap2l"
"S1pr4",4.93048287075368e-94,-0.602716335410232,0.168,0.443,7.12849213453567e-90,"0","S1pr4"
"Arl4c",1.46615388374525e-93,-0.658284723154073,0.228,0.502,2.11976528511888e-89,"0","Arl4c"
"Kif20a",2.4834611355286e-93,-0.568067108955273,0.083,0.334,3.59058810974725e-89,"0","Kif20a"
"Ccr2",2.56256547617624e-93,-0.870712815408403,0.006,0.206,3.7049571654556e-89,"0","Ccr2"
"Lrba",2.83926862716689e-93,-0.68557257706175,0.204,0.472,4.10501458115788e-89,"0","Lrba"
"Tcf7",1.5589866817852e-92,0.527824465275711,0.591,0.308,2.25398294452504e-88,"0","Tcf7"
"Ncapg",5.69890481654947e-92,-0.586724309940861,0.107,0.361,8.23947658376723e-88,"0","Ncapg"
"Kif23",1.06773934257906e-91,-0.560082229623268,0.057,0.289,1.54373754150081e-87,"0","Kif23"
"Cmtm7",6.52893025174829e-91,-0.585085599470435,0.166,0.433,9.43952735797767e-87,"0","Cmtm7"
"H1f0",1.24027620857075e-89,-0.636947035128993,0.092,0.336,1.79319134235159e-85,"0","H1f0"
"Flna",2.50068268910088e-89,-0.514695310411121,0.658,0.825,3.61548703190206e-85,"0","Flna"
"Ncapd2",3.85253472551227e-89,-0.664375813566478,0.215,0.475,5.56999470614563e-85,"0","Ncapd2"
"Rps14",1.02730744545831e-88,0.277115347114394,0.996,0.982,1.48528110464363e-84,"0","Rps14"
"Tigit",4.3269507013455e-87,-0.587230640485809,0.034,0.249,6.25590532400533e-83,"0","Tigit"
"Nr4a1",1.11347084310209e-86,0.830478745917079,0.242,0.057,1.609856144957e-82,"0","Nr4a1"
"Hist1h1c",1.66802954726507e-86,-0.587604428500543,0.091,0.325,2.41163711943583e-82,"0","Hist1h1c"
"Gbp3",3.04467160534214e-86,-0.583250232643868,0.18,0.447,4.40198620700366e-82,"0","Gbp3"
"Ifngr1",4.22259090440233e-85,-0.607850148217945,0.182,0.438,6.10502192958489e-81,"0","Ifngr1"
"Mxd3",1.23900850549705e-84,-0.492681377104704,0.035,0.242,1.79135849724763e-80,"0","Mxd3"
"Clic1",3.65282544224389e-84,-0.493369069028691,0.492,0.702,5.28125502439621e-80,"0","Clic1"
"Arhgdib",3.65987584100093e-84,-0.382692821863448,0.789,0.898,5.29144849091915e-80,"0","Arhgdib"
"Bub1b",8.16752731589577e-84,-0.541002151497391,0.083,0.311,1.18086109933221e-79,"0","Bub1b"
"Rps15a",1.60478689397729e-83,0.351739672781338,0.923,0.866,2.32020089131237e-79,"0","Rps15a"
"Cenpa",4.66802958712688e-83,-0.512631133795147,0.075,0.302,6.74903717706804e-79,"0","Cenpa"
"Cd47",1.01902159536025e-82,-0.519014895990034,0.423,0.665,1.47330142257186e-78,"0","Cd47"
"Prdm1",1.29678070985187e-82,-0.491595223590912,0.019,0.212,1.87488555030383e-78,"0","Prdm1"
"Spn",1.39957385128404e-82,-0.525598885140291,0.68,0.826,2.02350387418647e-78,"0","Spn"
"Rps20",2.81355012279872e-82,0.336238476260719,0.961,0.905,4.0678307675424e-78,"0","Rps20"
"Nuf2",3.71864508984781e-82,-0.449635449553561,0.055,0.269,5.37641707090196e-78,"0","Nuf2"
"Npm1",7.00819749399329e-82,0.424225359932697,0.873,0.735,1.01324519368155e-77,"0","Npm1"
"Arl5a",8.87560119120986e-82,-0.728541812021406,0.237,0.478,1.28323442022512e-77,"0","Arl5a"
"Nek2",6.26840483785341e-81,-0.452405969433202,0.039,0.241,9.06285971456846e-77,"0","Nek2"
"Arhgap11a",3.57034580197138e-80,-0.532850935211726,0.09,0.314,5.16200596049023e-76,"0","Arhgap11a"
"Gm2a",3.72241466166749e-80,-0.556660331929281,0.307,0.548,5.38186711783885e-76,"0","Gm2a"
"Ppp1ca",5.83805102889707e-80,-0.452497235584581,0.645,0.804,8.44065417757939e-76,"0","Ppp1ca"
"Ncl",8.9429511254343e-80,0.495105349773189,0.884,0.791,1.29297187371529e-75,"0","Ncl"
"Ikzf3",6.32218420225612e-79,-0.591069023994765,0.301,0.545,9.1406139196219e-75,"0","Ikzf3"
"Egr2",7.13376380347002e-79,0.594196290396472,0.181,0.03,1.0313995707057e-74,"0","Egr2"
"Capn2",4.96629415174224e-78,-0.569952357629368,0.283,0.527,7.18026808458893e-74,"0","Capn2"
"Smc2",5.41179147484292e-78,-0.577672571365924,0.225,0.47,7.8243681143279e-74,"0","Smc2"
"Ecm1",7.3864386047198e-77,0.567985406098313,0.32,0.118,1.06793129347039e-72,"0","Ecm1"
"Capg",3.87457473950487e-76,-0.465432364303538,0.601,0.799,5.60186015837613e-72,"0","Capg"
"Rrm1",6.89509789455218e-76,-0.608202299283827,0.383,0.589,9.96893253594354e-72,"0","Rrm1"
"Actg1",2.24780948935556e-75,-0.505554236682578,0.623,0.773,3.24988295971027e-71,"0","Actg1"
"Ncaph",3.37117751664919e-75,-0.540007763352106,0.117,0.341,4.87404845357139e-71,"0","Ncaph"
"Thy1",7.90785436417694e-75,-0.464334551592198,0.586,0.793,1.1433175839727e-70,"0","Thy1"
"Arhgap19",1.05268658831158e-74,-0.364969684191687,0.02,0.198,1.52197426938088e-70,"0","Arhgap19"
"Il18r1",1.13470361713892e-74,-0.549753132169142,0.052,0.253,1.64055448965946e-70,"0","Il18r1"
"Actb",1.23784518336219e-74,-0.252472072842145,1,1,1.78967656610506e-70,"0","Actb"
"Calm1",1.50713638803378e-74,-0.4119105273149,0.789,0.87,2.17901778981924e-70,"0","Calm1"
"Spag5",3.24786751309242e-74,-0.415751762630142,0.044,0.237,4.69576685042902e-70,"0","Spag5"
"Hist1h2ak",3.26642410698925e-74,-0.435620406846144,0.038,0.226,4.72259597388505e-70,"0","Hist1h2ak"
"Eef1b2",3.42444547979939e-74,0.315722873824527,0.945,0.884,4.95106327469396e-70,"0","Eef1b2"
"Cdc20",2.17354325553001e-73,-0.493123647757089,0.048,0.243,3.14250883884529e-69,"0","Cdc20"
"Hist1h4d",2.7823569074261e-73,-0.565775572266104,0.113,0.327,4.02273161675665e-69,"0","Hist1h4d"
"E2f2",4.7351121904692e-73,-0.54694797464116,0.207,0.448,6.84602520498037e-69,"0","E2f2"
"Kif14",1.01011929088398e-72,-0.402337530316833,0.024,0.202,1.46043047076006e-68,"0","Kif14"
"Bub1",1.14893245649972e-72,-0.414818195957232,0.052,0.246,1.6611265456073e-68,"0","Bub1"
"Aurka",1.47030038256678e-72,-0.395319616225703,0.024,0.2,2.12576029311505e-68,"0","Aurka"
"Kif2c",1.5113267924651e-72,-0.392576705687737,0.028,0.207,2.18507627654605e-68,"0","Kif2c"
"Itgae",2.22170537252512e-72,-0.813709975953607,0.106,0.321,3.21214162759682e-68,"0","Itgae"
"Picalm",7.44812006240797e-72,-0.523394352088829,0.31,0.548,1.07684919862294e-67,"0","Picalm"
"Cdkn2c",9.03704802214063e-72,-0.429202589211877,0.035,0.217,1.30657640304109e-67,"0","Cdkn2c"
"Fgl2",1.0621160908122e-71,-0.584949296309073,0.022,0.194,1.53560744409628e-67,"0","Fgl2"
"Tagap",1.79779784735652e-71,0.559745496837716,0.245,0.074,2.59925612770805e-67,"0","Tagap"
"C330027C09Rik",1.84894947164772e-71,-0.471544994460753,0.087,0.295,2.67321114610828e-67,"0","C330027C09Rik"
"Gbp7",1.49035776252185e-70,-0.520087835345277,0.259,0.511,2.15475925305409e-66,"0","Gbp7"
"Coro1a",3.30003907718247e-70,-0.283059351611938,0.956,0.991,4.77119649779042e-66,"0","Coro1a"
"Actr3",3.31664191326137e-70,-0.374334097954722,0.793,0.878,4.79520087819329e-66,"0","Actr3"
"Prr11",5.74461943417866e-70,-0.393061913680249,0.023,0.194,8.3055707779355e-66,"0","Prr11"
"Iqgap1",6.24137083180781e-70,-0.39481840674342,0.655,0.816,9.02377394862773e-66,"0","Iqgap1"
"Lamc1",6.8960489408872e-70,-0.45645378505808,0.076,0.282,9.97030755873471e-66,"0","Lamc1"
"Eno3",1.55131177946195e-69,0.523492258975149,0.253,0.079,2.24288657074609e-65,"0","Eno3"
"Dlgap5",2.3540618346234e-69,-0.481356091034465,0.089,0.291,3.40350260049851e-65,"0","Dlgap5"
"Itm2a",5.55273353346934e-69,0.608280564711349,0.273,0.096,8.02814214268997e-65,"0","Itm2a"
"Gpr83",6.59219442697496e-69,0.579310130187411,0.307,0.117,9.53099470252039e-65,"0","Gpr83"
"Cxcr3",9.83115151807751e-69,-0.505179311977287,0.048,0.233,1.42138788648365e-64,"0","Cxcr3"
"Ccnf",1.05786740881653e-68,-0.417166453689863,0.041,0.221,1.52946469966694e-64,"0","Ccnf"
"Hist1h1a",1.09000378042277e-68,-0.48729851080203,0.047,0.23,1.57592746573523e-64,"0","Hist1h1a"
"Rpl8",4.2535717581633e-68,0.254115300934669,0.99,0.965,6.1498140479525e-64,"0","Rpl8"
"Ass1",8.98876549880124e-68,-0.529755810073671,0.351,0.57,1.29959571581668e-63,"0","Ass1"
"Ccnb1",9.96059301531826e-68,-0.387032589833671,0.036,0.213,1.44010253815471e-63,"0","Ccnb1"
"Glrx",1.90689624548783e-67,-0.47458790297824,0.059,0.246,2.75699059172631e-63,"0","Glrx"
"Calm3",2.04513154341326e-67,-0.465862701186094,0.458,0.653,2.95685118546689e-63,"0","Calm3"
"Itm2b",1.30555538415452e-66,-0.529363074597557,0.634,0.803,1.8875719744106e-62,"0","Itm2b"
"Rps24",1.38251359788629e-66,0.31658614745197,0.904,0.823,1.99883815982399e-62,"0","Rps24"
"Gzmb",3.02081483762844e-66,-0.805489187002436,0.003,0.148,4.3674940922432e-62,"0","Gzmb"
"Casp3",3.16169139831554e-66,-0.523073939068656,0.161,0.376,4.57117342368461e-62,"0","Casp3"
"Rps8",4.0611579470665e-66,0.275292584963541,0.962,0.919,5.87162215986874e-62,"0","Rps8"
"Foxm1",4.60867890063118e-66,-0.381170645940396,0.043,0.221,6.66322795453256e-62,"0","Foxm1"
"Ndc80",8.40499873216037e-66,-0.441023396167511,0.083,0.28,1.21519471669575e-61,"0","Ndc80"
"Rpl26",1.09662736376031e-65,0.330690050892179,0.877,0.792,1.58550384252466e-61,"0","Rpl26"
"Stmn1",4.89326518728376e-65,-0.539644977371454,0.231,0.454,7.07468280777487e-61,"0","Stmn1"
"Hsp90ab1",4.92802421499763e-65,0.353135775673221,0.982,0.949,7.12493741004358e-61,"0","Hsp90ab1"
"Cdc42",7.40762291329258e-65,-0.397896144493269,0.667,0.8,1.07099412080384e-60,"0","Cdc42"
"Cdk1",7.50883135416434e-65,-0.435560920445782,0.072,0.261,1.08562683718508e-60,"0","Cdk1"
"Pycard",8.42696759830903e-65,-0.566046771644408,0.306,0.514,1.21837097536352e-60,"0","Pycard"
"Adam19",1.23058980017076e-64,-0.501609727123885,0.202,0.428,1.77918673308689e-60,"0","Adam19"
"Rpl13",2.28837522738096e-64,0.293438001292197,0.943,0.889,3.30853290374739e-60,"0","Rpl13"
"Rps5",3.73141212929189e-64,0.252041088385693,0.989,0.967,5.39487565653021e-60,"0","Rps5"
"Spc24",4.95773886313979e-64,-0.417879364089118,0.098,0.298,7.1678988483275e-60,"0","Spc24"
"Sec11c",5.35760237642658e-64,-0.433971359162122,0.201,0.424,7.74602151583754e-60,"0","Sec11c"
"Tuba1a",5.62998319692907e-64,-0.449686460171893,0.172,0.392,8.13982970612004e-60,"0","Tuba1a"
"Nsg2",8.79727918176625e-64,0.424461024101565,0.399,0.189,1.27191062409976e-59,"0","Nsg2"
"Cd83",1.02914967830622e-63,0.545146860508213,0.278,0.102,1.48794460489513e-59,"0","Cd83"
"Tmsb4x",1.56329907033021e-63,-0.287724312386885,0.95,0.981,2.26021779588341e-59,"0","Tmsb4x"
"Ect2",3.4663795998022e-63,-0.389481872770135,0.044,0.216,5.01169162539403e-59,"0","Ect2"
"1500009L16Rik",4.20270821791425e-63,-0.356103081694222,0.003,0.14,6.07627554146042e-59,"0","1500009L16Rik"
"Ckap5",1.7159217766978e-62,-0.507595612308544,0.207,0.421,2.48087970474968e-58,"0","Ckap5"
"Gbp2b",3.21221162458956e-62,-0.779345329627251,0.013,0.158,4.64421556683158e-58,"0","Gbp2b"
"Adrbk1",3.54574951248343e-62,-0.403470125955491,0.516,0.704,5.12644464514855e-58,"0","Adrbk1"
"Hist2h2bb",9.18083208241108e-62,-0.392029758455365,0.041,0.207,1.32736470247499e-57,"0","Hist2h2bb"
"Asf1b",1.26892742232038e-61,-0.434562791140468,0.134,0.34,1.8346152671908e-57,"0","Asf1b"
"Ncapg2",4.08840237491642e-61,-0.459328052230106,0.15,0.36,5.91101215365417e-57,"0","Ncapg2"
"Zfp36l1",5.04316735131469e-61,0.486826964825625,0.464,0.26,7.29141135653078e-57,"0","Zfp36l1"
"Rps26",6.89901958550917e-61,0.320771254086468,0.904,0.825,9.97460251672916e-57,"0","Rps26"
"Rps18",7.92117665670783e-61,0.328252908779462,0.933,0.859,1.14524372102682e-56,"0","Rps18"
"Crmp1",8.09459777945975e-61,-0.390473196383586,0.037,0.2,1.17031694695429e-56,"0","Crmp1"
"Ift80",1.16244137080691e-60,0.464768273984993,0.482,0.271,1.68065773391263e-56,"0","Ift80"
"Aurkb",2.06968280754904e-60,-0.351036324137346,0.039,0.202,2.9923474031544e-56,"0","Aurkb"
"Cit",3.71630095997882e-60,-0.401419354952058,0.064,0.24,5.37302792793738e-56,"0","Cit"
"Rpl18a",4.21345701784289e-60,0.266886075242957,0.974,0.943,6.09181615639725e-56,"0","Rpl18a"
"Ptpn7",4.63217263829634e-60,-0.409521901963136,0.42,0.639,6.69719520044885e-56,"0","Ptpn7"
"Rpl32",6.39728203506315e-60,0.274892279323433,0.965,0.924,9.2491903662943e-56,"0","Rpl32"
"Anln",6.71535118749505e-60,-0.325553521514474,0.026,0.18,9.70905474688034e-56,"0","Anln"
"Cep55",6.9358973566702e-60,-0.362863677047948,0.057,0.231,1.00279203982738e-55,"0","Cep55"
"Itgb1",9.14994170168004e-60,-0.620960046419058,0.363,0.563,1.3228985712289e-55,"0","Itgb1"
"Gna15",2.51400841684489e-59,-0.32846656900642,0.015,0.158,3.63475336907434e-55,"0","Gna15"
"Cdca2",7.54879646030894e-59,-0.359730063765608,0.046,0.212,1.09140499223147e-54,"0","Cdca2"
"Espl1",9.37704282410565e-59,-0.36810806483747,0.044,0.207,1.35573285150919e-54,"0","Espl1"
"Havcr2",5.29163396713898e-58,-0.355018381790422,0.004,0.134,7.65064438968954e-54,"0","Havcr2"
"Ubl3",7.52077887908982e-58,-0.458814362153719,0.207,0.417,1.08735421033881e-53,"0","Ubl3"
"Fbxo5",8.18662984675045e-58,-0.405372045619764,0.1,0.288,1.18362294324318e-53,"0","Fbxo5"
"Knstrn",8.45846280688511e-58,-0.398974281757814,0.078,0.256,1.22292455261945e-53,"0","Knstrn"
"Cyfip2",1.38697269218317e-57,-0.373810979821493,0.486,0.69,2.00528511835843e-53,"0","Cyfip2"
"Tnfrsf4",2.1639813471657e-57,0.532054336565044,0.64,0.464,3.12868423173216e-53,"0","Tnfrsf4"
"Shcbp1",2.62310921680547e-57,-0.344173186384569,0.046,0.207,3.79249130565735e-53,"0","Shcbp1"
"Tagln2",2.70104445288451e-57,-0.509111827261693,0.301,0.495,3.90517006998042e-53,"0","Tagln2"
"E2f8",3.29720944997641e-57,-0.376610249384304,0.058,0.226,4.7671054227759e-53,"0","E2f8"
"Adap1",1.86760622663956e-56,-0.392951031152641,0.089,0.271,2.70018508247547e-52,"0","Adap1"
"Hjurp",2.01623961312045e-56,-0.493026752955993,0.313,0.515,2.91507923264955e-52,"0","Hjurp"
"Egr1",3.82128981780011e-56,0.751333990129506,0.236,0.084,5.52482081857541e-52,"0","Egr1"
"Mad2l1",1.06769007065761e-55,-0.367060250986861,0.109,0.297,1.54366630415678e-51,"0","Mad2l1"
"Iqgap2",1.10240793537737e-55,-0.413400553903242,0.159,0.361,1.59386139296861e-51,"0","Iqgap2"
"Hist2h2ac",1.39391379162803e-55,-0.362099837178209,0.047,0.205,2.01532055993581e-51,"0","Hist2h2ac"
"Srm",2.82688615310112e-55,0.433185387699996,0.288,0.121,4.0871120001536e-51,"0","Srm"
"Cd96",3.85737212483068e-55,0.39577437913952,0.389,0.195,5.57698861808019e-51,"0","Cd96"
"Snx2",1.00685889168868e-54,-0.419413453263308,0.18,0.38,1.45571658560349e-50,"0","Snx2"
"Ephx1",1.13644314373051e-54,0.404890990391376,0.335,0.155,1.64306949720558e-50,"0","Ephx1"
"Rps17",1.44109003031121e-54,0.332540092132085,0.855,0.754,2.08352796582394e-50,"0","Rps17"
"Gmfg",3.83274558234758e-54,-0.385916638222588,0.15,0.348,5.54138356295814e-50,"0","Gmfg"
"Hsp90b1",5.0825269525771e-54,-0.43232873821361,0.616,0.753,7.34831746803598e-50,"0","Hsp90b1"
"Arpc1b",9.50434383931815e-54,-0.347292582421223,0.656,0.797,1.37413803228862e-49,"0","Arpc1b"
"Glipr1",1.26535590892805e-53,-0.399615775542467,0.109,0.294,1.82945157312817e-49,"0","Glipr1"
"Rps15",3.09804737817986e-53,0.275676088423074,0.925,0.856,4.47915689937244e-49,"0","Rps15"
"Timp2",3.86856478183605e-53,-0.45157349011926,0.129,0.317,5.59317096157856e-49,"0","Timp2"
"Gpr68",3.94123032949581e-53,-0.34518005668102,0.052,0.209,5.69823081038504e-49,"0","Gpr68"
"AW112010",5.00239845955836e-53,-0.471415238849814,0.225,0.425,7.23246769282947e-49,"0","AW112010"
"B4galnt1",6.04313138998063e-53,0.458056506627539,0.481,0.301,8.737159363634e-49,"0","B4galnt1"
"Cluh",6.38412804295543e-53,0.500303355181403,0.39,0.212,9.23017232450497e-49,"0","Cluh"
"Rps19",8.01159130536679e-53,0.287750159250137,0.878,0.812,1.15831587092993e-48,"0","Rps19"
"Rpl31",5.82707404280155e-52,0.325858252227601,0.816,0.696,8.42478365108248e-48,"0","Rpl31"
"Prkar1a",8.1698434727063e-52,-0.363545892882212,0.578,0.729,1.18119596928388e-47,"0","Prkar1a"
"H2afx",8.86290135328957e-52,-0.367400489402973,0.068,0.23,1.28139827765861e-47,"0","H2afx"
"Eef1g",1.28394447989151e-51,0.336384182823192,0.832,0.726,1.85632692902714e-47,"0","Eef1g"
"Diap3",1.29059269582402e-51,-0.350349942132369,0.084,0.254,1.86593891962237e-47,"0","Diap3"
"Rpl5",1.37688717882447e-51,0.271066643507831,0.936,0.885,1.99070348314442e-47,"0","Rpl5"
"2700094K13Rik",2.66586740801362e-51,-0.399688309554174,0.22,0.418,3.85431109850609e-47,"0","2700094K13Rik"
"Trp53inp1",2.82617256977461e-51,-0.51985426754968,0.246,0.446,4.08608030138013e-47,"0","Trp53inp1"
"Rps7",2.87452686622702e-51,0.311307806576816,0.854,0.767,4.15599094319102e-47,"0","Rps7"
"Bach2",1.01413199678752e-50,0.397159526188334,0.235,0.088,1.4662320409554e-46,"0","Bach2"
"Whsc1",1.05662417674267e-50,-0.417259829104072,0.334,0.536,1.52766723473455e-46,"0","Whsc1"
"Ctsb",1.40038064081586e-50,-0.440623110667899,0.493,0.673,2.02467033049156e-46,"0","Ctsb"
"Bcl2",2.13744078221801e-50,0.424651699407426,0.371,0.191,3.0903118829308e-46,"0","Bcl2"
"Kdm6b",2.90856241863491e-50,0.495263975204996,0.263,0.111,4.20519954486235e-46,"0","Kdm6b"
"Nfkbid",3.06567570768728e-50,0.434815623205592,0.181,0.053,4.43235393817427e-46,"0","Nfkbid"
"Nucks1",3.29037743898933e-50,-0.446483761781847,0.467,0.615,4.75722770129078e-46,"0","Nucks1"
"Ube2s",4.51431280699116e-50,-0.321081200207364,0.084,0.251,6.52679345634782e-46,"0","Ube2s"
"Vps54",6.5638027887097e-50,-0.395932936010685,0.184,0.378,9.48994607191648e-46,"0","Vps54"
"Tnfrsf9",6.85366674088366e-50,0.487561164510276,0.43,0.252,9.90903137396959e-46,"0","Tnfrsf9"
"1110032F04Rik",8.61817006458008e-50,0.339840647585954,0.211,0.073,1.24601502793699e-45,"0","1110032F04Rik"
