"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hist1h2ab.2",1.00190217491933e-61,-0.614879444248548,0.006,0.24,1.44855016449837e-57,"2","Hist1h2ab"
"Hnrnpd",1.02309669122322e-61,-0.526667008220733,0.396,0.668,1.47919319617054e-57,"2","Hnrnpd"
"Ighm.2",1.64403762831745e-61,0.485921242311561,0.753,0.498,2.37694960302138e-57,"2","Ighm"
"Fignl1.1",3.15340177638693e-61,-0.495284751542096,0.022,0.264,4.55918828830022e-57,"2","Fignl1"
"Rps20.2",3.1537697117619e-61,-0.395829535153291,0.856,0.943,4.55972024926535e-57,"2","Rps20"
"G3bp1",8.32349469566065e-61,-0.556102397465925,0.37,0.637,1.20341086309862e-56,"2","G3bp1"
"Ndc80.2",8.79031629216671e-61,-0.531040422244967,0.014,0.252,1.27090392952146e-56,"2","Ndc80"
"Lgals1.2",1.03713737485316e-60,-1.09234838449701,0.475,0.67,1.4994932165627e-56,"2","Lgals1"
"Oaz1.1",1.21755313739356e-60,-0.473016203297343,0.602,0.791,1.76033832604361e-56,"2","Oaz1"
"Cdca7.1",1.64717881296045e-60,-0.523327067845448,0.055,0.318,2.38149112777822e-56,"2","Cdca7"
"Mif",2.11908332805001e-60,-0.59278023889442,0.145,0.427,3.0637706756947e-56,"2","Mif"
"Kif23.2",2.19044655628859e-60,-0.576171525779718,0.013,0.247,3.16694763108205e-56,"2","Kif23"
"Arhgap11a.2",2.41752034422881e-60,-0.574717329841014,0.032,0.277,3.49525091368602e-56,"2","Arhgap11a"
"Pold1",2.50198652005732e-60,-0.516532181708435,0.054,0.312,3.61737211069888e-56,"2","Pold1"
"Dst.1",3.33388429986379e-60,0.69054904074923,0.368,0.158,4.82012992074307e-56,"2","Dst"
"Rpl7",3.74695754141209e-60,-0.366187413450772,0.835,0.93,5.4173512133736e-56,"2","Rpl7"
"Ccnb2.2",4.52809750494198e-60,-0.537547971046749,0.018,0.256,6.54672337264511e-56,"2","Ccnb2"
"Dlgap5.2",7.66490827499997e-60,-0.538060288349229,0.022,0.261,1.1081924383995e-55,"2","Dlgap5"
"Tipin.1",9.69828974628121e-60,-0.477086544422848,0.044,0.295,1.40217873151734e-55,"2","Tipin"
"Ckap2l.2",1.23428312311743e-59,-0.552182599222043,0.008,0.237,1.78452653940317e-55,"2","Ckap2l"
"Canx.1",1.36819030490944e-59,-0.514870297275567,0.577,0.778,1.97812954283807e-55,"2","Canx"
"Aspm.2",2.07761869077524e-59,-0.67127621937004,0.015,0.248,3.00382110312284e-55,"2","Aspm"
"Calm3.2",2.38986515550665e-59,-0.538734675938841,0.359,0.633,3.45526704183152e-55,"2","Calm3"
"Gnb2l1",2.40271579330226e-59,-0.30042941308608,0.957,0.989,3.47384649395641e-55,"2","Gnb2l1"
"Fbxo5.2",2.596624498953e-59,-0.538310749432945,0.025,0.263,3.75419970058625e-55,"2","Fbxo5"
"Ywhae.2",4.28900300698083e-59,-0.560541001787808,0.413,0.655,6.20104054749288e-55,"2","Ywhae"
"Dtl.1",6.16711642513015e-59,-0.527734863367868,0.023,0.259,8.91641692745316e-55,"2","Dtl"
"Supt16.1",7.46237634999516e-59,-0.535092423898905,0.323,0.601,1.0789103726823e-54,"2","Supt16"
"Cct8.1",7.66331185795333e-59,-0.544726369537325,0.409,0.667,1.10796162842289e-54,"2","Cct8"
"Hspe1.1",8.10117406015068e-59,-0.605205820812707,0.29,0.572,1.17126774561659e-54,"2","Hspe1"
"Mcm10.1",3.69380815739357e-58,-0.492776517973892,0.014,0.241,5.34050783395962e-54,"2","Mcm10"
"Prc1.2",4.03470966607046e-58,-0.623976008571179,0.024,0.259,5.83338323520467e-54,"2","Prc1"
"Hdgf.1",5.46128577333845e-58,-0.532491069838433,0.216,0.501,7.89592697109273e-54,"2","Hdgf"
"Usp1.1",1.06059340515749e-57,-0.5159676187068,0.148,0.428,1.53340594517669e-53,"2","Usp1"
"Rfc4.1",1.45132363790469e-57,-0.462491318376252,0.029,0.266,2.0983237156826e-53,"2","Rfc4"
"Caprin1",3.34970094703857e-57,-0.463181018925936,0.523,0.751,4.84299762922836e-53,"2","Caprin1"
"Kntc1",4.17357493421786e-57,-0.500342884634544,0.012,0.237,6.03415463989218e-53,"2","Kntc1"
"Mad2l1.2",6.10678324884667e-57,-0.470362343111569,0.034,0.272,8.82918722118251e-53,"2","Mad2l1"
"Phb2",6.26741244017217e-57,-0.56691291449099,0.243,0.519,9.06142490600092e-53,"2","Phb2"
"Sfpq",1.07759640088329e-56,-0.486255757180798,0.458,0.703,1.55798887639706e-52,"2","Sfpq"
"Plk1.2",1.19241972108829e-56,-0.544381041427248,0.011,0.232,1.72400043274945e-52,"2","Plk1"
"mt-Nd1",1.28058003156077e-56,-0.444082700536543,0.734,0.866,1.85146260963056e-52,"2","mt-Nd1"
"Rfc5.1",1.29663434292167e-56,-0.477789803280463,0.048,0.29,1.87467393299615e-52,"2","Rfc5"
"Srsf7",1.41199511508112e-56,-0.498466413023975,0.175,0.458,2.04146253738429e-52,"2","Srsf7"
"Nuf2.2",2.76155116402102e-56,-0.467298255356009,0.011,0.231,3.9926506729416e-52,"2","Nuf2"
"E2f2.2",3.09608964900339e-56,-0.646117289966397,0.145,0.408,4.4763264145291e-52,"2","E2f2"
"Kif22.2",3.89404714359714e-56,-0.545558042643585,0.019,0.243,5.63001336021274e-52,"2","Kif22"
"Hist1h2ae.2",4.05370655951917e-56,-0.576500449722549,0.016,0.237,5.86084894375282e-52,"2","Hist1h2ae"
"Cox4i1.1",4.61096500546359e-56,-0.406817828262107,0.642,0.845,6.66653320489925e-52,"2","Cox4i1"
"Nudc",1.12637667106487e-55,-0.528929698798334,0.145,0.414,1.62851539102559e-51,"2","Nudc"
"Prmt1",1.21315362621782e-55,-0.562669648970293,0.215,0.491,1.75397751278573e-51,"2","Prmt1"
"Rpl15",2.51904321824962e-55,-0.495006390286264,0.446,0.689,3.6420326849453e-51,"2","Rpl15"
"Atp5g3.1",2.81649165163987e-55,-0.510358681373564,0.34,0.608,4.07208362994093e-51,"2","Atp5g3"
"Hat1",2.9459438979237e-55,-0.493214788414525,0.075,0.326,4.25924568761809e-51,"2","Hat1"
"Hmmr.2",3.9220998257048e-55,-0.544895715161153,0.014,0.233,5.670571928004e-51,"2","Hmmr"
"Laptm5.1",4.96675206934355e-55,0.400541472226662,0.907,0.819,7.1809301418569e-51,"2","Laptm5"
"Rps5.1",5.10661326742005e-55,-0.294386300141153,0.957,0.98,7.38314146203591e-51,"2","Rps5"
"Eef1b2.1",5.54559334472482e-55,-0.376714512955496,0.836,0.924,8.01781885780315e-51,"2","Eef1b2"
"Racgap1.2",6.76368782041449e-55,-0.637079051696425,0.113,0.367,9.77893985075527e-51,"2","Racgap1"
"Ifngr1.1",9.20068351785126e-55,0.585404003649929,0.517,0.3,1.33023482301094e-50,"2","Ifngr1"
"Tcf19.1",2.77206209852903e-54,-0.491796874210038,0.027,0.252,4.00784738205327e-50,"2","Tcf19"
"Rpa2.1",2.81106740553087e-54,-0.498486056038564,0.067,0.311,4.06424125491653e-50,"2","Rpa2"
"Ddx39.1",2.95673375430888e-54,-0.490362611529999,0.137,0.406,4.27484566197978e-50,"2","Ddx39"
