"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Apex1",1.20695055932509e-124,-0.25141751696702,0.072,0.201,1.74500911867221e-120
"Atp13a3",1.29579988218874e-124,-0.287288084893185,0.201,0.387,1.87346746966848e-120
"Abcf2",1.58213631103369e-124,-0.263271890084438,0.116,0.269,2.28745267849251e-120
"Cluh",2.89384183480336e-124,-0.34200562485873,0.125,0.279,4.1839165247587e-120
"St13",3.87806197920281e-124,-0.31551803300842,0.312,0.511,5.60690200953143e-120
"Chd3",1.86427651618209e-123,0.326632994199464,0.849,0.795,2.69537098709607e-119
"Tceb3",5.5377597133397e-123,-0.26757323693316,0.136,0.299,8.00649299354654e-119
"Ywhab",1.19480245656348e-122,-0.303593137392515,0.463,0.654,1.72744539169948e-118
"Msh6",2.82591542000181e-122,-0.263175173351461,0.122,0.278,4.08570851423861e-118
"Hnrnph1",3.96987558338987e-122,-0.311610451482643,0.282,0.477,5.73964611846507e-118
"Nup210",4.97508410871415e-122,-0.335693475554603,0.38,0.574,7.19297660437891e-118
"Sec13",1.42197130738512e-121,-0.255072704118359,0.143,0.309,2.05588611621741e-117
"Ndufs8",1.60113935716376e-121,-0.254607967085859,0.145,0.312,2.31492728258736e-117
"Pds5a",2.92406406169936e-121,-0.317358867970803,0.298,0.497,4.22761182040493e-117
"Gdi2",7.85780471383215e-121,-0.324449608252257,0.468,0.652,1.13608140552585e-116
"Nars",1.59730595437593e-120,-0.306278473965037,0.242,0.432,2.30938494883673e-116
"Hnrnpm",2.11652978346352e-120,-0.333216634479079,0.447,0.629,3.06007876093156e-116
"Mta2",2.26641189187343e-120,-0.306112254194899,0.359,0.561,3.2767783132706e-116
"Hnrnpul1",9.07535886222329e-120,-0.323121415342291,0.457,0.641,1.31211538430024e-115
"Il18r1",4.72045269845799e-119,-0.34591981644078,0.061,0.177,6.82483051143056e-115
"Sept7",5.1832751053954e-119,-0.320422270364166,0.413,0.602,7.49397914738067e-115
"Neb",9.33459868593044e-119,-0.45242145294136,0.067,0.187,1.34959627801182e-114
