"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","color","pval_plot","avg_logFC_plot"
"Hist1h2ad",3.19067068147919e-10,0.113431102890001,0.133,0.04,4.61307167128261e-06,NA,"a",4.61307167128261e-06,0.113431102890001
"Pold1",3.27889686200879e-10,0.139690435419432,0.464,0.267,4.74062908309232e-06,NA,"a",4.74062908309232e-06,0.139690435419432
"C330027C09Rik",3.36913576314762e-10,0.154205281217855,0.529,0.314,4.87109648635883e-06,NA,"a",4.87109648635883e-06,0.154205281217855
"Dctn5",3.42178107077099e-10,0.155238317278872,0.306,0.153,4.9472110721207e-06,NA,"a",4.9472110721207e-06,0.155238317278872
"Srsf4",3.42566146334249e-10,0.128913713763107,0.452,0.257,4.95282134370058e-06,NA,"a",4.95282134370058e-06,0.128913713763107
"Lrrc8c",3.50266313171034e-10,0.178077617717975,0.552,0.35,5.0641503558268e-06,NA,"a",5.0641503558268e-06,0.178077617717975
"Fam114a2",3.52277468720948e-10,0.124755191231915,0.232,0.102,5.09322764276746e-06,NA,"a",5.09322764276746e-06,0.124755191231915
"Cox7c",3.53253462356983e-10,0.116697132076076,0.371,0.196,5.10733855875727e-06,NA,"a",5.10733855875727e-06,0.116697132076076
"Eed",3.55920634160413e-10,0.120058419225526,0.397,0.217,5.14590052869126e-06,NA,"a",5.14590052869126e-06,0.120058419225526
"Iars2",3.58721568643743e-10,0.137309537538513,0.4,0.22,5.18639643945123e-06,NA,"a",5.18639643945123e-06,0.137309537538513
"Rps13",3.61681818703786e-10,0.189334949268513,0.886,0.75,5.22919573481934e-06,NA,"a",5.22919573481934e-06,0.189334949268513
"Uimc1",3.67252266504986e-10,0.08031961628983,0.27,0.124,5.30973326912909e-06,NA,"a",5.30973326912909e-06,0.08031961628983
"Endod1",3.74212701126334e-10,0.148054458538975,0.532,0.319,5.41036723288454e-06,NA,"a",5.41036723288454e-06,0.148054458538975
"Fmnl3",3.81189732288676e-10,0.128924909517585,0.27,0.128,5.51124114942968e-06,NA,"a",5.51124114942968e-06,0.128924909517585
"Cmas",3.94056489459369e-10,0.133107069120918,0.417,0.233,5.69726872460356e-06,NA,"a",5.69726872460356e-06,0.133107069120918
"Dst",4.02714393467122e-10,0.124682365200203,0.141,0.044,5.82244470074765e-06,NA,"a",5.82244470074765e-06,0.124682365200203
"Polr1d",4.05678335153378e-10,0.15382257056104,0.511,0.308,5.86529736964755e-06,NA,"a",5.86529736964755e-06,0.15382257056104
"Imp3",4.09095093035109e-10,0.0925831139963873,0.327,0.164,5.91469685510161e-06,NA,"a",5.91469685510161e-06,0.0925831139963873
"Fam63b",4.16247482621691e-10,0.117270414318032,0.265,0.124,6.01810610374441e-06,NA,"a",6.01810610374441e-06,0.117270414318032
"Chchd1",4.22750698480551e-10,0.137033843686292,0.314,0.158,6.11212959863181e-06,NA,"a",6.11212959863181e-06,0.137033843686292
"Fip1l1",4.22838958796492e-10,0.146361774428397,0.462,0.264,6.11340566627968e-06,NA,"a",6.11340566627968e-06,0.146361774428397
"Trps1",4.251130218879e-10,0.144615615339773,0.109,0.028,6.14628407045525e-06,NA,"a",6.14628407045525e-06,0.144615615339773
"Hist1h2an",4.46445604787881e-10,0.180197198987851,0.286,0.145,6.45471055402318e-06,NA,"a",6.45471055402318e-06,0.180197198987851
"Got1",4.72150267605379e-10,0.128181530411661,0.294,0.145,6.82634856903857e-06,NA,"a",6.82634856903857e-06,0.128181530411661
"Bcl2",4.99502230011653e-10,0.136325039054806,0.135,0.042,7.22180324150848e-06,NA,"a",7.22180324150848e-06,0.136325039054806
"Prkacb",5.14412167558635e-10,0.144377191322361,0.433,0.245,7.43737111856274e-06,NA,"a",7.43737111856274e-06,0.144377191322361
"Mapkapk3",5.23006483964331e-10,0.12298750048308,0.315,0.157,7.5616277451563e-06,NA,"a",7.5616277451563e-06,0.12298750048308
"Ttc7",5.23305151828095e-10,0.163985355373845,0.474,0.287,7.5659458851306e-06,NA,"a",7.5659458851306e-06,0.163985355373845
"Cenpw",5.52531230788644e-10,0.118861974134576,0.179,0.068,7.98849653474222e-06,NA,"a",7.98849653474222e-06,0.118861974134576
"Ifnar2",5.64529443089139e-10,0.129730678612027,0.2,0.082,8.16196668818277e-06,NA,"a",8.16196668818277e-06,0.129730678612027
"Metap1",5.6712993862711e-10,0.142145454332438,0.314,0.162,8.19956465267075e-06,NA,"a",8.19956465267075e-06,0.142145454332438
"Adk",5.7355475133564e-10,0.127189725867281,0.333,0.174,8.29245459481068e-06,NA,"a",8.29245459481068e-06,0.127189725867281
