"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","otherlog"
"Recql5",0.198195465678767,0.00661470374030448,0.104,0.124,1,-0.00114838
"Asl",0.198281238372408,-0.0139898888778908,0.216,0.244,1,0.303098
"Bbx",0.198824242656502,0.0283097696928474,0.242,0.276,1,0.688602
"Rbm33",0.199147308360897,0.0311105469015067,0.264,0.302,1,-0.519893
"Ythdc1",0.199338007569403,0.0359242569224931,0.357,0.414,1,0.267282
"Lin7c",0.199551646557217,0.0367715025635137,0.254,0.292,1,-0.516891
"Zfyve1",0.199839830437607,0.0575290369287188,0.106,0.092,1,0.676072
"Armc5",0.200336947024403,0.0217539704609774,0.087,0.105,1,-0.319587
"Ankrd54",0.200339486764341,-0.00675185303241421,0.178,0.204,1,-0.304827
"Arid1a",0.201020067327394,0.103706559360668,0.512,0.537,1,-0.061873
"Plcl2",0.201045405059407,0.0312005385534945,0.44,0.502,1,0.413294
"Nsun4",0.201409615472233,0.00880298409419228,0.11,0.13,1,0.326585
"Epm2aip1",0.20176725203638,0.0114478769106691,0.127,0.148,1,-0.736231
"Tmem126b",0.201889425331053,0.000393722541257496,0.118,0.138,1,0.639494
"Ppp6r2",0.202463959856985,0.0446053268822753,0.115,0.1,1,-0.0660324
"Hace1",0.203115824778945,-0.00861237312073293,0.096,0.112,1,-0.358233
"Pgap2",0.203176641819322,0.0115238881757626,0.154,0.178,1,0.185592
"Acox3",0.203298873954779,0.0754488122849743,0.163,0.148,1,0.204621
"Atrn",0.203358021164173,0.0277649528181087,0.112,0.133,1,-0.405876
"Ten1",0.203784837893486,0.00960111239537859,0.245,0.281,1,0.203184
"Brk1",0.203854050558873,0.0810203649314024,0.527,0.558,1,-0.0965648
"Etv6",0.203913446358267,0.101363478192768,0.175,0.164,1,-0.554568
"Zgpat",0.204048064634747,0.103687002965978,0.169,0.156,1,0.431931
"BC030336",0.20420960969086,0.00689788721386808,0.099,0.117,1,NA
"Gpr55",0.204239886402763,-0.0146436030266863,0.142,0.162,1,-0.316715
"Ndst1",0.204637842371555,0.00487072602210187,0.143,0.166,1,0.489591
"Flot1",0.204925194210222,0.0926302783222472,0.251,0.243,1,0.409531
"Mob3a",0.205180735204434,0.0736564103994424,0.588,0.616,1,0.526921
"Arhgap18",0.20536015232435,0.0687143973705124,0.21,0.195,1,0.603083
