"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","otherlog"
"S1pr1",8.4851128404241e-121,0.877684930248038,0.588,0.21,1.2465479273867e-116,0.248356
"Hsp90ab1",3.64149601586653e-109,-0.549033205628244,0.942,0.994,5.34972179690952e-105,-0.56226
"Atp5b",6.93184189281761e-101,-0.554984980509215,0.825,0.971,1.01835689247384e-96,-0.400921
"Cd7",4.18948879807262e-100,0.474241484122922,0.242,0.031,6.15477799324849e-96,-1.44628
"Gzmb",5.50168282629067e-100,-1.28456997013127,0.23,0.683,8.08252224010362e-96,-5.59759
"Nme1",8.02875377933478e-99,-0.681603932723433,0.545,0.878,1.17950421772207e-94,-0.221188
"Hspa9",8.18303085043646e-93,-0.70495914789761,0.501,0.839,1.20216906223762e-88,-0.500791
"mmu-mir-6236",6.94179522579463e-90,0.717878102156451,1,1,1.01981913662149e-85,NA
"Pa2g4",1.82703872331839e-89,-0.67406272354791,0.576,0.864,2.68410258842704e-85,-0.901844
"Serbp1",4.76767407808923e-85,-0.498463586473485,0.879,0.976,7.00418998812089e-81,-0.288966
"Txnip",7.13380028918375e-84,0.74259196761727,0.703,0.401,1.04802660048399e-79,0.270481
"Sell",9.03349511924385e-84,0.862859328817319,0.545,0.22,1.32711076796811e-79,0.489384
"Hnrnpab",3.04174810085249e-83,-0.575170624509246,0.767,0.939,4.4686321349624e-79,-0.809607
"Cct3",3.2600111871482e-82,-0.604000705095955,0.504,0.831,4.78928243503942e-78,-0.284957
"Pde2a",9.5839030066656e-81,0.609056714216247,0.309,0.074,1.40797119070924e-76,1.08355
"Hmha1",4.24492016577954e-80,0.65653414970668,0.906,0.79,6.23621221554673e-76,NA
"Jak1",4.62586653492031e-80,0.650274786643122,0.936,0.883,6.79586052645143e-76,0.440837
"Rasa3",7.24506845457308e-80,0.749307839493729,0.645,0.335,1.06437300666133e-75,0.539684
"Gm26924",8.56239562161007e-80,0.317383627646542,1,1,1.25790154077074e-75,NA
"Tcp1",1.07216860349511e-79,-0.541799493495783,0.684,0.911,1.57512289539466e-75,-0.537813
"Ldha",1.81278059830797e-79,-0.518913962048027,0.84,0.978,2.66315597697424e-75,-0.784775
"Cct7",3.65676486772827e-78,-0.548246412679527,0.679,0.895,5.3721532671796e-74,-0.261982
"Eif5a",4.42598178616449e-76,-0.55879897171611,0.679,0.903,6.50220984205425e-72,-0.548705
"Txn1",7.36354018867812e-75,-0.545112799398928,0.63,0.895,1.0817776891187e-70,-0.215156
"Klrd1",9.42160586478575e-75,0.691580978359215,0.479,0.189,1.38412811759567e-70,-0.414824
"Arl5c",1.1773362089925e-74,0.72011109700241,0.566,0.263,1.72962462463088e-70,0.713736
"Ybx1",2.10966135100994e-74,-0.506203529013387,0.679,0.932,3.09930349076871e-70,-0.438407
"Canx",2.16825332828996e-74,-0.465372153527768,0.787,0.95,3.18538096459079e-70,0
"Malat1",2.46640489149976e-74,0.952911912893479,0.846,0.599,3.6233954261023e-70,1.68628
"Ncl",1.53418735622872e-72,-0.588604248758983,0.9,0.969,2.25387464503562e-68,-0.411839
"Prmt1",4.89502212015818e-71,-0.603509386847063,0.449,0.777,7.19127699672438e-67,-0.320936
"Cct2",7.47326713417033e-71,-0.431236533305868,0.834,0.957,1.09789767468096e-66,-0.292029
"Hnrnpa2b1",1.00998069832885e-70,-0.444975843679696,0.858,0.972,1.48376264391491e-66,-0.2332
"Rps27l",5.41376789884955e-69,-0.597435661777372,0.384,0.718,7.95336642019987e-65,-0.253362
"mt-Nd1",1.95317940003394e-67,-0.465099507957855,0.815,0.956,2.86941585658986e-63,NA
"Mybbp1a",2.39349476187747e-67,-0.616702079034151,0.427,0.75,3.5162831546742e-63,-0.645954
"Ddx21",7.92316734148594e-67,-0.552444172782719,0.557,0.847,1.1639925141377e-62,-0.632678
"Cct8",1.05328030475838e-66,-0.514236041359621,0.642,0.878,1.54737409572053e-62,-0.311679
"Phb2",1.21735329653364e-66,-0.526751251959056,0.606,0.853,1.78841372793757e-62,-0.281974
"Stip1",6.18730182958419e-66,-0.553356337444771,0.501,0.799,9.08976511784213e-62,-0.533136
"C1qbp",1.30945642855366e-65,-0.595026201779586,0.375,0.703,1.92372243918818e-61,-0.584462
"Npm1",1.32108132528167e-65,-0.48385649360023,0.843,0.95,1.94080057497129e-61,-0.560175
"Cox6a1",6.83881568522056e-65,-0.484534832018936,0.601,0.861,1.00469041231575e-60,0.166876
"Nsun2",2.57864659080057e-64,-0.563132742649841,0.482,0.784,3.78828970654512e-60,-0.473238
"Gart",3.29675311293235e-64,-0.587900201267401,0.384,0.708,4.84325999820892e-60,-0.59181
"Fkbp4",8.28661052544309e-63,-0.59645591264509,0.403,0.726,1.21738595229284e-58,-0.439279
"Gpx1",5.90043001758754e-62,-0.48989512093505,0.615,0.865,8.66832173883786e-58,0.321556
"Hspa5",8.26918197473444e-62,-0.539677298883414,0.636,0.867,1.21482552390824e-57,-0.235395
"Mcm6",9.48801445110455e-62,-0.498104639794295,0.558,0.852,1.39388420301177e-57,-0.58851
"Shmt2",9.84823779180469e-62,-0.56884960691749,0.333,0.658,1.44680461399403e-57,-0.41389
"Nhp2",1.027881185281e-61,-0.556933512012306,0.419,0.726,1.51006024929631e-57,-0.185691
"Eef1g",1.24206050352134e-61,-0.445937652751285,0.679,0.899,1.82471108572319e-57,-0.193174
"Tfrc",4.64484930003553e-61,-0.537539566596764,0.597,0.863,6.8237481066822e-57,-0.916276
"Smc4",1.1410914218812e-60,0.507813451956377,0.931,0.852,1.67637740788567e-56,0.70547
"Serpine2",1.66215813763598e-60,-0.912832094033431,0.094,0.42,2.44187652000102e-56,0.500738
"Eif3b",2.17577477712923e-60,-0.483146842561516,0.604,0.855,3.19643072508055e-56,-0.55035
"Mthfd1",4.74379206490837e-59,-0.533844135884373,0.287,0.627,6.96910492255688e-55,-0.628825
"Ppa1",4.8419318044279e-59,-0.598672999808289,0.29,0.617,7.11328201388502e-55,-0.814378
"Pdia3",6.48837100989358e-59,-0.429396266799042,0.718,0.911,9.53206585063465e-55,-0.462253
"Rpl4",1.00580364097634e-58,-0.255763633263802,0.997,1,1.47762612895834e-54,0.307484
"Ranbp1",1.49344596022618e-58,-0.531858804897194,0.448,0.752,2.19402146016828e-54,-0.324519
"Dgka",2.32514897079625e-58,0.568321996497772,0.843,0.707,3.41587635299677e-54,0.576248
"Bax",2.32636189120775e-58,-0.527251104378181,0.493,0.786,3.4176582543733e-54,0.129277
"Ipo5",2.44319132739829e-58,-0.498268158526813,0.493,0.781,3.58929237908083e-54,-0.777018
"Ccng1",3.4284664250995e-58,-0.699648670990886,0.524,0.794,5.03676002511368e-54,0.126187
"Psma7",4.65181271100154e-58,-0.483252351835957,0.53,0.812,6.83397805373236e-54,0.0179884
"Ssrp1",6.94588569393563e-58,-0.446191119977808,0.624,0.876,1.02042006729608e-53,-0.403404
"Mcm2",1.05846686320972e-57,-0.514788869431504,0.33,0.663,1.5549936687414e-53,-0.696977
"Kpnb1",1.307655998291e-57,-0.448346641497848,0.696,0.893,1.9210774270893e-53,-0.838575
"Acp5",1.86970671498046e-57,0.630760806032139,0.554,0.305,2.7467861349778e-53,2.1455
"Ddx1",8.16889933171365e-57,-0.505625933892951,0.416,0.725,1.20009300082205e-52,-0.441709
"Dut",1.16943365089563e-56,-0.499850539460312,0.491,0.802,1.71801497653077e-52,-0.44582
"Rrm1",1.66099962059454e-56,-0.471832931507925,0.501,0.845,2.44017454261544e-52,-0.754973
"Tmem71",1.83048007498657e-56,0.514463542753864,0.443,0.192,2.68915827816277e-52,0.306571
"Tkt",9.03208376734316e-56,-0.41876348709463,0.71,0.905,1.32690342626038e-51,-0.381476
"Cct5",1.13981805350063e-55,-0.424509398158129,0.794,0.928,1.67450670239778e-51,-0.213533
"Cct6a",2.18201945268242e-55,-0.532070506846235,0.449,0.746,3.20560477793574e-51,-0.701904
"Irf8",2.49649695389215e-55,-0.552999936355599,0.319,0.641,3.66760367496296e-51,0.996698
"Cdkn1a",2.83737181392762e-55,-0.747927144724386,0.107,0.428,4.16838293184107e-51,-3.12433
"Ybx3",5.70874472107131e-55,-0.489513847053949,0.552,0.797,8.38671686972587e-51,-0.910822
"Mcm5",8.05392758195339e-55,-0.485278710997443,0.49,0.818,1.18320250106477e-50,-0.777807
"Hspd1",9.22838411087618e-55,-0.559704148696297,0.334,0.64,1.35574190972882e-50,-0.423396
"Mcm3",7.77207377867326e-53,-0.455508795179346,0.519,0.818,1.14179535882489e-48,-0.607822
"Rcc2",1.02398607734082e-52,-0.44540477762984,0.496,0.775,1.50433794622139e-48,-0.800191
"Tecpr1",1.26018911867025e-52,0.656228702218263,0.588,0.359,1.85134383423847e-48,0.430643
"Sdhb",1.2847780483414e-52,-0.435382073186298,0.566,0.818,1.88746743081836e-48,-0.0608801
"Ets1",1.91674226996087e-52,0.49116669362976,0.924,0.878,2.81588606879951e-48,-0.162581
"Hsp90b1",5.49205982049692e-52,-0.45693375123357,0.682,0.886,8.06838508229203e-48,-0.391031
"Hint1",1.55352924880884e-51,-0.435220075118929,0.597,0.841,2.28228981942507e-47,-0.256395
"Psat1",3.00940208048403e-51,-0.500144691458478,0.419,0.713,4.42111259643909e-47,-0.599425
"Tcf7",3.2745146549338e-51,0.472800612150144,0.933,0.842,4.81058947956324e-47,0.38975
"Rpl8",4.54101231054832e-51,-0.227182019679121,0.991,0.999,6.67120118542653e-47,-0.0654561
"Limd2",5.18669967250535e-51,0.443199077345792,0.925,0.895,7.61978048887762e-47,0.638288
"Atp5g3",6.65485385299264e-51,-0.395125814465833,0.707,0.9,9.77664579543148e-47,0.0186294
"Rn7sk",8.14684291360627e-51,0.733227859403871,0.388,0.171,1.1968526924379e-46,NA
"Banf1",2.54802181869676e-50,-0.442859132715553,0.464,0.762,3.74329885384741e-46,-0.0840939
"Dkc1",3.10217674633074e-50,-0.459162002341548,0.304,0.619,4.55740785803449e-46,-0.200306
"Nolc1",1.5380796084168e-49,-0.529210034887087,0.327,0.624,2.25959275272512e-45,-0.291681
"Pik3ip1",1.44121721897698e-48,0.679864472315423,0.469,0.239,2.11729221639908e-44,1.24143
"Nop58",1.46709935244177e-48,-0.485149523476448,0.354,0.652,2.1553156586722e-44,-0.550437
"Ptpn6",1.53914767542945e-48,-0.404681333331608,0.627,0.867,2.26116184997341e-44,0.386808
"Eef1b2",1.74799027076727e-48,-0.287920791110836,0.984,0.996,2.5679725067842e-44,-0.0230428
"Dnah8",6.5285043135461e-48,0.475207519757831,0.258,0.08,9.59102568703058e-44,-0.0489864
"Lcp1",7.14061286130114e-48,-0.320906587535219,0.904,0.979,1.04902743545375e-43,-0.129151
"Hspe1",2.24904660829142e-47,-0.446891426556697,0.491,0.752,3.30407437224092e-43,-0.413902
"Il2ra",3.22197497257162e-47,-0.705619469041243,0.2,0.503,4.73340343220497e-43,-4.12834
"Zc3hav1",3.34156324367859e-47,0.455499983876259,0.867,0.829,4.90909056128822e-43,-0.479673
"Atp5a1",3.67972996575799e-47,-0.315558938275108,0.89,0.972,5.40589129269507e-43,-0.0443561
"Sae1",5.03076216638497e-47,-0.441450799722715,0.431,0.728,7.39069269863617e-43,-0.414482
"Irf4",6.91182412200562e-47,-0.508266199138474,0.128,0.418,1.01541608176384e-42,-0.961757
"Pyhin1",8.82950135868735e-47,0.532346136396496,0.36,0.149,1.29714204460476e-42,NA
"Psmb8",1.13812639404947e-46,-0.289624125888946,0.943,0.977,1.67202148549808e-42,0.144715
"Rsl1d1",2.4692732051116e-46,-0.490052513724751,0.448,0.71,3.62760926562946e-42,-0.385365
"Eif2s1",2.68690911014252e-46,-0.461251521339486,0.361,0.655,3.94733817371037e-42,-0.336544
"Abce1",2.94269588237221e-46,-0.463690338391101,0.4,0.677,4.32311452079301e-42,-0.661159
"Srm",3.55680447205176e-46,-0.512072684993369,0.206,0.502,5.22530144989124e-42,-0.57894
"Gm4955",3.77383727620906e-46,0.359332869659141,0.225,0.063,5.54414434247874e-42,NA
"Ifngr1",3.99353378581412e-46,0.54186971645146,0.831,0.719,5.86690048473952e-42,0.380526
"Psma2",5.16901302043746e-46,-0.400394644535534,0.652,0.849,7.59379702832467e-42,0.0236675
"Shmt1",5.90304404102148e-46,-0.486280152576445,0.172,0.46,8.67216200066466e-42,-0.790007
"Gramd3",6.19691141418422e-46,0.549617653115837,0.655,0.446,9.10388255857804e-42,0.192931
"Cdc34",7.50531500462295e-46,-0.455123685905388,0.413,0.693,1.10260582732916e-41,-0.812337
"Uqcr10",7.70285055521019e-46,-0.438302746244294,0.443,0.718,1.13162577506593e-41,0.053055
"Acsl5",7.75285531795745e-46,-0.413390206058689,0.537,0.797,1.13897197476113e-41,-0.338913
"Mdh2",9.81320741243789e-46,-0.393202623224006,0.618,0.828,1.44165830096125e-41,-0.0731847
"Hspa4",1.19263283428321e-45,-0.425209482592967,0.578,0.816,1.75209689684546e-41,-0.666129
"Txnrd1",1.38828950636492e-45,-0.47605988384699,0.39,0.678,2.03953611380071e-41,-0.55764
"Fubp1",1.58250945157303e-45,-0.457848326689429,0.384,0.674,2.32486463530594e-41,-0.0531694
"Anp32b",1.86701782333435e-45,-0.381130467543509,0.642,0.863,2.7428358842605e-41,-0.266126
"Myh9",2.4499472619311e-45,0.326244644936718,0.991,0.965,3.59921752250297e-41,-0.277317
"Etf1",2.93657646189909e-45,-0.430264306625518,0.622,0.817,4.31412448017596e-41,-0.537533
"Atpif1",3.16779783851489e-45,-0.411657718038271,0.51,0.778,4.65381180456223e-41,0.0565308
"Scd2",3.63169908592265e-45,-0.474260130340869,0.676,0.868,5.33532912712897e-41,-0.71058
"Calr",3.65483859760737e-45,-0.385325895004546,0.746,0.91,5.36932338374498e-41,-0.180502
"Ppp5c",4.18885957806475e-45,-0.450139568381652,0.351,0.633,6.15385360613493e-41,-0.223763
"Lyar",4.73110709130952e-45,-0.47834371828218,0.227,0.516,6.95046942784282e-41,-0.586761
"Noc2l",7.24921609972774e-45,-0.441053837052444,0.355,0.649,1.064982337211e-40,-0.205114
"Rexo2",7.46070827664778e-45,-0.452894707384094,0.401,0.68,1.09605265292233e-40,-0.304141
"mt-Cytb",7.56643792773915e-45,-0.323776416618475,0.83,0.965,1.11158539596416e-40,NA
"Prmt5",7.5968649171201e-45,-0.440328722320624,0.393,0.679,1.11605542497411e-40,-0.258158
"Eprs",8.21451082358901e-45,-0.44014460628833,0.479,0.752,1.20679378509346e-40,-0.322855
"Tipin",8.66845520850929e-45,-0.441931273014747,0.322,0.617,1.2734827546821e-40,-0.502493
"Mcm4",1.08469867722158e-44,-0.405804921361343,0.51,0.802,1.59353082670622e-40,-0.705573
"Psmd1",3.56843089130361e-44,-0.446167298110996,0.416,0.684,5.24238182241413e-40,-0.417966
"Galk1",5.22934577761839e-44,-0.433974616668611,0.381,0.672,7.68243188189918e-40,-0.663903
"Ms4a6b",7.75884725657065e-44,0.460750153572669,0.825,0.685,1.13985225046279e-39,0.173304
"Aprt",9.13118436580866e-44,-0.425184782013277,0.391,0.679,1.34146229518095e-39,-0.285906
"Atic",1.43521108037404e-43,-0.425155148134664,0.41,0.69,2.10846859817751e-39,-1.24992
"Hnrnpu",1.44727641742566e-43,-0.310985938966034,0.897,0.966,2.12619378484003e-39,-0.368072
"Asap1",1.58899683391543e-43,0.583399243910872,0.537,0.32,2.33439524870516e-39,0.327626
"Eif4g1",1.59491384839058e-43,-0.409542511493435,0.715,0.873,2.3430879346706e-39,-0.818518
"Mthfd2",2.15147968316503e-43,-0.45558391100506,0.337,0.622,3.16073880253775e-39,-0.412415
"Slfn1",3.89685499360658e-43,0.483795805375441,0.393,0.177,5.72486967110742e-39,-0.0732758
"Rpl14",8.82638744041537e-43,-0.313500360491764,0.861,0.968,1.29668457887142e-38,-0.0460271
"Chd3",1.81479799074915e-42,0.554635430752358,0.766,0.636,2.66611972820958e-38,0.488629
"Itgae",2.83578961969105e-42,0.591004095485606,0.321,0.125,4.16605853028812e-38,1.40461
"Ipo7",3.22215737630129e-42,-0.417796580540922,0.406,0.679,4.73367140152423e-38,-0.814482
"Uqcrq",4.15238903433382e-42,-0.403175696340178,0.522,0.785,6.10027473033982e-38,0.0303267
"Dynll2",1.06545895995666e-41,-0.406673556353827,0.37,0.656,1.56526575807233e-37,-0.591877
"Slc25a3",1.2238504395015e-41,-0.323586992715902,0.81,0.933,1.79795868067165e-37,-0.230446
"Psmb4",2.0744579895501e-41,-0.357023031420907,0.704,0.89,3.04758623244805e-37,-0.417867
"Cdk4",2.68245009453066e-41,-0.367349177768375,0.615,0.837,3.94078743387499e-37,-0.30268
"Slc7a5",3.51384355681403e-41,-0.415323857801487,0.133,0.402,5.16218756931549e-37,-0.904798
"Actn1",5.16822588005745e-41,0.58522158680442,0.672,0.509,7.5926406403924e-37,0.417742
"Hells",7.75362467996276e-41,-0.429153878684369,0.343,0.626,1.13908500173333e-36,-0.695344
"Hdgf",1.05037997013655e-40,-0.396856783643493,0.519,0.765,1.5431132141276e-36,-0.388249
"Smap2",1.15779346594313e-40,0.534908890535916,0.763,0.632,1.70091438081705e-36,0.339492
"Utrn",1.3104849515232e-40,0.586977477624109,0.639,0.445,1.92523344228273e-36,0.74876
"Gm23935",1.89490229612334e-40,0.392593316465345,0.955,0.921,2.78380096323479e-36,NA
"Rbbp7",2.16276156800806e-40,-0.371268884763968,0.558,0.814,3.17731301956065e-36,-0.394737
"Polr2f",4.61901284384385e-40,-0.421165077086868,0.403,0.663,6.78579176889101e-36,0.108434
"Uba2",5.47121138601326e-40,-0.394165516350348,0.491,0.742,8.03775664719209e-36,-0.453181
"Cad",7.4970439181547e-40,-0.410293911443948,0.261,0.543,1.10139072201611e-35,-0.868327
"Rpn2",8.17054427232053e-40,-0.362190619450708,0.446,0.733,1.20033465904661e-35,-0.174835
"Ezh2",1.69281280334975e-39,-0.381531180693865,0.506,0.767,2.48691128940112e-35,-0.509122
"Snrpd1",1.86043906741555e-39,-0.38781444913822,0.325,0.609,2.73317103394019e-35,-0.417901
"Fam65b",1.89007097650751e-39,0.435014034865582,0.569,0.343,2.77670327158718e-35,NA
"Slfn2",2.06940053226874e-39,0.462958793336231,0.703,0.52,3.040156321956e-35,0.0834701
"Uba1",2.13851491241712e-39,-0.340833023093059,0.736,0.887,3.14169225783199e-35,-0.379782
"Ddb1",2.54956681982734e-39,-0.353829303098482,0.6,0.833,3.74556861500835e-35,-0.255422
"Mrpl20",3.30067474946786e-39,-0.4096228770566,0.439,0.695,4.84902127444323e-35,-0.417166
"Dhcr24",4.93235222015884e-39,-0.442843854913353,0.349,0.622,7.24611864663536e-35,-1.62247
"Mrpl12",5.72607957710464e-39,-0.404097725066882,0.315,0.593,8.41218350672443e-35,-0.467459
"Chchd10",7.9926904186319e-39,-0.414007019911537,0.206,0.468,1.17420614940121e-34,-0.615412
"Tuba4a",8.02859404525839e-39,-0.410963782079275,0.294,0.562,1.17948075118891e-34,-0.693562
"Bst2",8.85416929630235e-39,-0.384479997870963,0.27,0.551,1.30076601131978e-34,-1.17889
"Nars",9.59113464552712e-39,-0.458576117036369,0.47,0.701,1.40903359077439e-34,-0.151578
"Rps2",1.07746907997602e-38,-0.310892962270311,0.8,0.941,1.58290982539278e-34,-0.177588
"Gars",1.11971031243627e-38,-0.403560274334415,0.534,0.753,1.64496642000012e-34,-0.434271
"Cct4",2.06634584097748e-38,-0.335572894881648,0.704,0.871,3.03566867498001e-34,-0.278481
"Ube2m",2.1775560609989e-38,-0.39286255350279,0.379,0.65,3.19904760921349e-34,-0.517346
"Gspt1",3.48488631883701e-38,-0.402557431729998,0.537,0.764,5.11964649100346e-34,-0.486555
"Mars",3.58198592855812e-38,-0.401382336989053,0.279,0.547,5.26229552764473e-34,NA
"Ifi27",3.62706359069977e-38,0.49150492272123,0.475,0.265,5.32851912109703e-34,1.05097
"Cbx5",3.63091516831283e-38,-0.367766508341178,0.497,0.786,5.33417747376838e-34,-1.04656
"Tmem66",3.83652597639113e-38,0.477832997041121,0.787,0.683,5.63624031191621e-34,NA
"Eif3i",4.56870851037436e-38,-0.360876314502487,0.596,0.809,6.71188967259097e-34,-0.303911
"Add3",4.67311347213679e-38,0.428931856508755,0.797,0.66,6.86527100191616e-34,0.125469
"mt-Co1",5.27823887139591e-38,-0.277167249002215,0.943,0.988,7.75426072596773e-34,NA
"Shisa5",7.57280775506502e-38,0.289405457145257,0.963,0.941,1.1125211872966e-33,0.472151
"Cyp51",8.55697757156567e-38,-0.474710388918891,0.351,0.619,1.25710557503871e-33,-0.980964
"Hmgcr",9.85862554546884e-38,-0.403845883114795,0.366,0.644,1.44833067888483e-33,-0.346343
"Sfxn1",1.67600401320957e-37,-0.387132618324626,0.339,0.615,2.46221749580618e-33,-0.443822
"Lig1",1.69732337981399e-37,-0.354739622293193,0.41,0.726,2.49353777728473e-33,-0.406341
"Mrpl13",1.75383249423291e-37,-0.391100643679229,0.342,0.621,2.57655531727757e-33,-0.230604
"Psmc5",1.76141455029284e-37,-0.383704910928619,0.419,0.678,2.58769411583522e-33,-0.116554
"Arhgef18",1.98640417566126e-37,0.461501651298806,0.457,0.25,2.91822637446396e-33,0.117225
"Ebna1bp2",2.21483047820371e-37,-0.417575792005029,0.325,0.58,3.25380745552907e-33,-0.0870607
"Ablim1",2.400228071288e-37,0.38768011057576,0.942,0.903,3.52617505952921e-33,0.016484
"Park7",2.45139462334271e-37,-0.38235698242908,0.527,0.777,3.60134384115278e-33,0.099816
"Ak2",2.45468861417212e-37,-0.401610118874249,0.458,0.69,3.60618304308026e-33,-0.193982
"Actb",3.88167650718841e-37,-0.203921581955479,1,1,5.70257095671049e-33,-0.690456
"Cox5a",4.22545342776593e-37,-0.358138203454316,0.521,0.775,6.20761363073093e-33,-0.135453
"Iars",4.4521112408756e-37,-0.395766596295256,0.282,0.559,6.54059662397035e-33,-0.674873
"Lrrc59",5.03480046236481e-37,-0.384393659831217,0.372,0.641,7.39662535926014e-33,-0.961899
"Lef1",5.1098373021785e-37,0.535124696078873,0.715,0.581,7.50686198063043e-33,1.29986
"Myc",5.27699998352638e-37,-0.38977427048365,0.175,0.441,7.75244067579861e-33,0.236824
"Pomp",9.27897875609374e-37,-0.355747265813127,0.516,0.755,1.36317476905773e-32,0.200895
"Ywhae",9.7297683737853e-37,-0.337196056657593,0.748,0.891,1.4294002717928e-32,-0.33732
"Ssb",1.23754433091274e-36,-0.369668948117112,0.46,0.711,1.81807637654391e-32,-0.0879739
"Nefh",1.27492254649074e-36,-0.391162950655834,0.184,0.452,1.87298871304954e-32,-0.822772
"Psma1",1.37340723844673e-36,-0.351612482217278,0.545,0.796,2.01767257400209e-32,-0.259339
"Snx5",1.57234675236421e-36,-0.328324791842653,0.74,0.888,2.30993461389826e-32,-0.335332
"Nop56",1.80648521401687e-36,-0.401670341517542,0.307,0.574,2.65390742791219e-32,-0.223035
"Nup85",2.02003782344314e-36,-0.375548908623758,0.294,0.565,2.96763756642032e-32,-0.520071
"Srsf7",2.09148355287764e-36,-0.39240707104903,0.412,0.666,3.07259848753254e-32,-0.281715
"Atf4",2.26550016863064e-36,-0.46850085604263,0.4,0.63,3.32824629773527e-32,-0.152404
"Wdr43",2.37168888824687e-36,-0.422716267587069,0.381,0.633,3.48424814572348e-32,-0.491951
"Psma6",2.48704858326476e-36,-0.358084280237449,0.652,0.843,3.65372307367426e-32,-0.159412
"Ddx39",2.63266972686405e-36,-0.402313032549544,0.413,0.672,3.86765509573598e-32,-0.488357
"Snrpd3",3.44403182759379e-36,-0.384026131455996,0.463,0.715,5.05962715791803e-32,-0.17603
"Nsg2",4.7340661335018e-36,0.49467456449473,0.393,0.2,6.95481655672749e-32,0.218587
"Rars",5.54470306758748e-36,-0.388361644083013,0.316,0.587,8.14572327659276e-32,-0.353348
"Neurl3",5.59907355919726e-36,0.478425222846903,0.418,0.223,8.22559896581669e-32,0.834925
"Cnbp",7.26073685708787e-36,-0.346176837940703,0.761,0.893,1.06667485167478e-31,-0.156794
"Ruvbl2",7.62206345343662e-36,-0.375149997925442,0.331,0.605,1.11975734194437e-31,-0.275349
"Ppat",8.20090006616808e-36,-0.373378145794516,0.357,0.614,1.20479422872075e-31,-0.758497
"Eif4b",8.81885115955464e-36,-0.27346513744579,0.879,0.941,1.29557742385017e-31,-0.443484
"Snrpa1",9.17823259955768e-36,-0.379510407258838,0.37,0.625,1.34837415120102e-31,-0.292819
"mt-Nd2",1.1972017942225e-35,-0.297817822711621,0.743,0.923,1.75880915589228e-31,NA
"Itga4",1.37142651661631e-35,0.485169735706069,0.704,0.538,2.01476269556103e-31,2.6833
"Mrto4",1.59718634274141e-35,-0.378481149351051,0.21,0.465,2.3464264561214e-31,-0.483247
"Prex1",1.88514373181984e-35,0.488099804730894,0.54,0.36,2.76946465641653e-31,0.202338
"Gins2",2.20558247901771e-35,-0.361099207257351,0.228,0.495,3.24022121992492e-31,-0.415863
"Samd9l",2.25182299767848e-35,0.41376035242466,0.387,0.193,3.30815316588945e-31,0.0156102
"Immt",2.75651819488496e-35,-0.368664348648757,0.412,0.665,4.0496008801055e-31,-0.450228
"Atad3a",3.1170014606654e-35,-0.370703888038751,0.193,0.453,4.57918684586354e-31,-0.419373
"Tubb5",4.12952329170557e-35,-0.273041777510654,0.896,0.972,6.06668266784466e-31,-0.680119
"Rps8",4.2132454687369e-35,-0.281896987984442,0.861,0.953,6.18967891812138e-31,-0.26942
"Nasp",4.60026543090154e-35,-0.384080077696122,0.376,0.638,6.75824994453745e-31,-1.33299
"Eif6",7.27055964439712e-35,-0.373806713851502,0.506,0.735,1.06811791735838e-30,-0.22012
"Klhl6",7.73282375003892e-35,0.521499284194889,0.627,0.465,1.13602913711822e-30,0.227923
"Psmd7",7.76429846016196e-35,-0.387001984703716,0.451,0.686,1.14065308678239e-30,-0.40389
"Neat1",8.08781201021082e-35,0.460045247656487,0.349,0.164,1.18818046242007e-30,-0.375935
"Umps",9.44782678303736e-35,-0.374566555546363,0.31,0.572,1.38798023269602e-30,-0.547205
"Ypel3",9.98392661593608e-35,0.429645995145568,0.422,0.224,1.46673865914717e-30,1.77462
"Pcna",1.03439965281758e-34,-0.343863529092828,0.499,0.78,1.5196365299543e-30,-0.477869
"Cyc1",1.50065960102083e-34,-0.371735959791737,0.463,0.705,2.20461901985969e-30,-0.326371
"Tuba1b",1.74917016537674e-34,-0.367151320150745,0.301,0.568,2.56970588995497e-30,-0.547714
"Tomm40",1.86569085302005e-34,-0.411900902682624,0.276,0.519,2.74088643217175e-30,-0.401605
"Parp1",2.29324564624681e-34,-0.367087907978735,0.46,0.717,3.36900717890119e-30,-0.516226
"Ly6a",2.31038505727468e-34,-0.509556599564077,0.466,0.683,3.39418668764224e-30,-2.05008
"Cox7b",2.32594654156478e-34,-0.345802507206687,0.551,0.793,3.41704806421281e-30,0.394613
"Pglyrp1",3.89513086936825e-34,0.267157556813188,0.191,0.059,5.7223367601889e-30,0.381839
"Tpi1",4.99295008388921e-34,-0.28007345413862,0.663,0.895,7.33514296824164e-30,-0.944563
"Timm13",5.85539258143558e-34,-0.374438018266074,0.501,0.74,8.60215724138702e-30,0.14893
"Tsr1",6.15833869834069e-34,-0.347808692063168,0.224,0.494,9.04721538173231e-30,-0.00170268
"Adsl",6.18228559426439e-34,-0.368690063424175,0.348,0.595,9.08239576653382e-30,-0.206685
"Xpo1",7.91121858767711e-34,-0.350994571877731,0.528,0.775,1.16223712271564e-29,-0.621986
"Ran",8.26229134129633e-34,-0.372765843305686,0.375,0.631,1.21381322094984e-29,-0.396593
"Metap2",9.10504114252255e-34,-0.350210853588589,0.446,0.678,1.33762159424799e-29,-0.347469
"Rcc1",1.0028148510485e-33,-0.375504815117234,0.213,0.454,1.47323529767535e-29,-1.37457
